;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;9.0;0.2739245195979827;2367.0;3.0;10054.0;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;9.0;0.21340347468849327;2543.0;0.0;Infinity;0.0036642035431688697;0.0036642035431688697
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;9.0;0.2925002644589774;1602.0;1383.0;21.809110629067245;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;9.0;0.25510998050475003;2235.0;2584.0;11.672600619195046;0.014189075665854593;6.985861831998554E-27
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30162.0;9.0;0.06909718104991042;281870.0;0.0;Infinity;0.021346477705747293;0.021346477705747293
Adult;Discernibility;5-anonymity;RGR;0.05;5.0;30162.0;9.0;0.004463606249102837;2101.0;4.0;7540.5;2.125644832865163E-4;1.9789931274612004E-4
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;30162.0;9.0;0.004330719377021313;2877.0;0.0;Infinity;1.6089347608840785E-4;1.6089347608840785E-4
Adult;Discernibility;5-anonymity;Flash;0.05;5.0;30162.0;9.0;0.0078110509403538685;1756.0;105.0;287.25714285714287;3.858819204730585E-4;1.8705487588753008E-28
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;30162.0;9.0;0.0078110509403538685;2718.0;105.0;287.25714285714287;3.858819204730585E-4;1.8705487588753008E-28
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;30162.0;9.0;1.27172466142645E-4;287809.0;0.0;Infinity;0.021297013445436462;0.021297013445436462
Adult;Loss;10-anonymity;RGR;0.05;10.0;30162.0;9.0;0.3279955017685254;1556.0;0.0;Infinity;0.002178359587940565;0.002178359587940565
Adult;Loss;10-anonymity;RGR;0.1;10.0;30162.0;9.0;0.2671190498438023;2037.0;11.0;2742.0;0.0031066288168742507;0.0030575361310624513
Adult;Loss;10-anonymity;Flash;0.05;10.0;30162.0;9.0;0.34562306001411075;1412.0;1501.0;20.094603597601598;0.006230643527202655;3.677121377679741E-27
Adult;Loss;10-anonymity;Flash;0.1;10.0;30162.0;9.0;0.30304863488816813;1850.0;2656.0;11.356174698795181;0.011572151264255091;7.487224023771986E-27
Adult;Loss;10-anonymity;Tassa & Goldberger;0.0;10.0;30162.0;9.0;0.10782979990278538;135194.0;0.0;Infinity;0.027299707284713603;0.027299707284713603
Adult;Discernibility;10-anonymity;RGR;0.05;10.0;30162.0;9.0;0.007452891368586833;1316.0;0.0;Infinity;3.334580156661475E-4;3.334580156661475E-4
Adult;Discernibility;10-anonymity;RGR;0.1;10.0;30162.0;9.0;0.007452891368586833;2227.0;0.0;Infinity;3.334580156661475E-4;3.334580156661475E-4
Adult;Discernibility;10-anonymity;Flash;0.05;10.0;30162.0;9.0;0.011462217736407453;1295.0;121.0;249.27272727272728;3.334580156661655E-4;1.7804152374779781E-28
Adult;Discernibility;10-anonymity;Flash;0.1;10.0;30162.0;9.0;0.011462217736407453;2623.0;121.0;249.27272727272728;3.334580156661655E-4;1.7804152374779781E-28
Adult;Discernibility;10-anonymity;Tassa & Goldberger;0.0;10.0;30162.0;9.0;4.21661155115909E-4;124934.0;0.0;Infinity;0.027224741925828876;0.027224741925828876
Adult;Loss;25-anonymity;RGR;0.05;25.0;30162.0;9.0;0.425274928528981;1194.0;0.0;Infinity;0.0020591542043692985;0.0020591542043692985
Adult;Loss;25-anonymity;RGR;0.1;25.0;30162.0;9.0;0.34366627698962005;1687.0;0.0;Infinity;0.003107797057307993;0.003107797057307993
Adult;Loss;25-anonymity;Flash;0.05;25.0;30162.0;9.0;0.4381663882476645;1122.0;1345.0;22.425278810408923;0.005424125411294625;2.0089812478799077E-26
Adult;Loss;25-anonymity;Flash;0.1;25.0;30162.0;9.0;0.37309198701848406;1542.0;2660.0;11.339097744360902;0.010595142148312257;8.142501743275209E-27
Adult;Loss;25-anonymity;Tassa & Goldberger;0.0;25.0;30162.0;9.0;0.1714932501034874;59093.0;0.0;Infinity;0.03531268721525778;0.03531268721525778
Adult;Discernibility;25-anonymity;RGR;0.05;25.0;30162.0;9.0;0.012749591603016653;982.0;12.0;2513.5;6.728352523006809E-4;6.342214121333812E-4
Adult;Discernibility;25-anonymity;RGR;0.1;25.0;30162.0;9.0;0.012749591603016653;1585.0;12.0;2513.5;6.728352523006809E-4;6.342214121333812E-4
Adult;Discernibility;25-anonymity;Flash;0.05;25.0;30162.0;9.0;0.020920667707072585;903.0;259.0;116.45559845559846;8.418636363297557E-4;1.232595164407831E-28
Adult;Discernibility;25-anonymity;Flash;0.1;25.0;30162.0;9.0;0.020920667707072585;1615.0;259.0;116.45559845559846;8.418636363297557E-4;1.232595164407831E-28
Adult;Discernibility;25-anonymity;Tassa & Goldberger;0.0;25.0;30162.0;9.0;0.0013687464355183674;59228.0;0.0;Infinity;0.034880984497892356;0.034880984497892356
Adult;Loss;50-anonymity;RGR;0.05;50.0;30162.0;9.0;0.49533445441259755;866.0;0.0;Infinity;0.0026615545715765153;0.0026615545715765153
Adult;Loss;50-anonymity;RGR;0.1;50.0;30162.0;9.0;0.4133312323086077;1286.0;0.0;Infinity;0.005511091432288123;0.005511091432288123
Adult;Loss;50-anonymity;Flash;0.05;50.0;30162.0;9.0;0.5028728976415537;818.0;1079.0;27.953660797034292;0.004152025131659598;2.025167961488948E-26
Adult;Loss;50-anonymity;Flash;0.1;50.0;30162.0;9.0;0.43847434012765574;1189.0;2752.0;10.960029069767442;0.010349117805044121;8.615292379137668E-27
Adult;Loss;50-anonymity;Tassa & Goldberger;0.0;50.0;30162.0;9.0;0.23403568293186036;31787.0;0.0;Infinity;0.040654647077512616;0.040654647077512616
Adult;Discernibility;50-anonymity;RGR;0.05;50.0;30162.0;9.0;0.022337966804824614;573.0;16.0;1885.125;9.682369009605195E-4;9.318091919303885E-4
Adult;Discernibility;50-anonymity;RGR;0.1;50.0;30162.0;9.0;0.022337966804824614;1141.0;16.0;1885.125;9.682369009605195E-4;9.318091919303885E-4
Adult;Discernibility;50-anonymity;Flash;0.05;50.0;30162.0;9.0;0.03272234402266796;550.0;330.0;91.4;7.695086455344292E-4;8.423281443526581E-29
Adult;Discernibility;50-anonymity;Flash;0.1;50.0;30162.0;9.0;0.03272234402266796;1195.0;330.0;91.4;7.695086455344292E-4;8.423281443526581E-29
Adult;Discernibility;50-anonymity;Tassa & Goldberger;0.0;50.0;30162.0;9.0;0.003200788497433369;33422.0;0.0;Infinity;0.0411630182347608;0.0411630182347608
